scenario,num_days,total_episodes,att_reward_mean,def_reward_mean,win_rate,stab_episode_att,stab_episode_def,entropy_att_mean,entropy_def_mean,entropy_gap,q_att_max,q_att_min,q_def_max,q_def_min,best_att_strat,best_def_strat,topk_att_cov_final,topk_def_cov_final,att_def_reward_ratio,month,run_id,seed
R3,31,31000,0.7451642171002175,9.06724348596248,0.5650967741935484,,,1.3170072005535025,0.7030283178266478,0.6139788827268547,0.8093516408765408,0.5413506446808873,8.82214083338778,6.963702372473339,A2,D5,0.0,1.0,0.0821820014267675,may,1,25633
R3,31,31000,0.7309713514859253,9.06874053585116,0.5600322580645162,,,1.3877997391239758,0.7303464156047842,0.6574533235191916,0.7513772207723481,0.3649739946731516,9.342797644521506,7.085221702809138,A5,D5,0.0,1.0,0.0806034033718574,may,2,25634
R3,31,31000,0.7342093775371287,9.077388639467369,0.5628709677419355,,,1.3629133725743134,0.68929811391776,0.6736152586565535,1.150772498601928,0.5049462020801716,8.735086993300722,6.993857934874442,A5,D5,0.0,1.0,0.0808833252269134,may,3,25635
R3,31,31000,0.6738980709617418,9.129767884707883,0.5564516129032258,,,1.4345124131845444,0.6652709025684789,0.7692415106160655,0.9918185189364762,0.4514507232775968,8.734184534714721,7.821212218925295,A4,D5,0.2294306629054702,0.7705693370945298,0.0738132753725867,may,4,25636
R3,31,31000,0.7224742042000438,9.084578880661647,0.5628387096774193,,,1.3531620930621295,0.6944836691501785,0.6586784239119511,0.8749937792396196,0.4963701293274439,8.809712447883076,7.500772041950368,A2,D5,0.5056733583592375,0.4943266416407625,0.0795275393268889,may,5,25637
R3,31,31000,0.717746145553533,9.079043881463791,0.5479677419354839,,,1.4246052928457535,0.7321771800737163,0.6924281127720372,1.0798991302037078,0.5039902567933066,9.015049679380164,6.895638510890672,A5,D5,0.4943266416407625,0.5056733583592375,0.0790552568006547,may,6,25638
R3,31,31000,0.7438746441176481,9.061959934344625,0.5708709677419355,,,1.3328579612079925,0.7151277037143942,0.6177302574935983,1.0480440001579945,0.5458002332087993,8.762768344129965,6.766419809121062,A4,D5,0.0,1.0,0.0820876112350022,may,7,25639
R3,31,31000,0.7195893726694969,9.079148654358995,0.5641935483870968,,,1.4078158424907432,0.7085178151038376,0.6992980273869056,1.1760559674062392,0.424833449212203,8.339580442172144,6.749155916256785,A3,D5,0.2294306629054702,0.7705693370945298,0.0792573621232663,may,8,25640
R3,31,31000,0.731126632814863,9.071534597258225,0.5634838709677419,,,1.4089880573720317,0.7097391875991508,0.6992488697728807,1.4183909100348695,0.566058454750569,9.041535229353208,6.421821914953579,A3,D2,0.2294306629054702,0.7705693370945298,0.0805956946949018,may,9,25641
R3,31,31000,0.6860377167506904,9.096947711930165,0.5537741935483871,,,1.4062623910246752,0.6895114260823811,0.7167509649422941,0.6965369777530563,0.3314260439550831,9.38689371432512,5.870186562820239,A4,D5,0.0,1.0,0.0754140551836951,may,10,25642
R0,31,31000,1.3504786459619469,8.385352296679791,0.672258064516129,,,0.8876054345867839,0.9903116730797074,-0.1027062384929234,2.547836828231147,0.4394927004868481,8.461821335669912,7.468612080445479,A5,D2,0.4316433143031802,0.5683566856968199,0.1610521058842898,august,1,6953
R0,31,31000,1.3109484487507748,8.437667402057164,0.6650967741935484,,,0.868438614847703,0.9603427983082888,-0.0919041834605857,2.8000947068821023,0.8027485349208405,8.280206844836448,7.570829538101422,A5,D2,0.4316433143031802,0.5683566856968199,0.1553685854494758,august,2,6954
R0,31,31000,1.2849403573400011,8.442247996358606,0.6694516129032259,,,0.924269789744154,0.9920231563989128,-0.0677533666547588,2.4149922613268373,0.4158136435425881,8.313917588617306,7.344437550906845,A5,D3,0.4316433143031802,0.5683566856968199,0.152203578702525,august,3,6955
R0,31,31000,1.3338079659612878,8.402826199397193,0.6658709677419354,,,0.9365175799785171,1.0239940542401866,-0.0874764742616694,2.67503520276242,0.6271127565055824,8.625804106705255,7.523555770146597,A5,D2,0.4316433143031802,0.5683566856968199,0.1587332564437633,august,4,6956
R0,31,31000,1.3335754688200072,8.390798658700913,0.6759032258064516,,,0.9334157776202944,0.9445633196291048,-0.0111475420088106,2.744015059468282,0.3265431896008574,9.033144904427267,7.531671205474134,A5,D2,0.4316433143031802,0.5683566856968199,0.1589330793245937,august,5,6957
R0,31,31000,1.3167295667811012,8.417664320073651,0.6631290322580645,,,0.913926636588384,0.9989827800388068,-0.0850561434504229,1.306466347057872,0.5755876079291015,8.299860248720671,7.340091114780185,A3,D6,0.5683566856968199,0.4316433143031802,0.1564245753588782,august,6,6958
R0,31,31000,1.3243372475459148,8.40924546193929,0.6769032258064516,,,0.9196414828321228,0.9466432782317032,-0.0270017953995804,1.4424502682058682,0.8421008685772718,8.490343474201689,7.414443341723281,A2,D6,0.0,1.0,0.1574858592890335,august,7,6959
R0,31,31000,1.2984585194954792,8.43961819996885,0.6752903225806451,,,0.8575759187699507,0.9447313017128725,-0.0871553829429218,1.1844533395701695,0.8245843083200726,8.13476485699825,7.369254657769795,A4,D6,0.5683566856968199,0.4316433143031802,0.1538527559813395,august,8,6960
R0,31,31000,1.342052754608927,8.412553115051946,0.6663870967741935,,,0.9054372562510054,0.994366723561902,-0.0889294673108965,2.719060642551729,0.5774951901686537,8.370671432346619,7.38229114153868,A5,D2,0.4316433143031802,0.5683566856968199,0.159529780823338,august,9,6961
R0,31,31000,1.332993310608066,8.39909873673234,0.6661290322580645,,,0.9418359641642536,1.0516714118226262,-0.1098354476583725,2.6622090483129845,0.9307201390806304,7.486127818458082,7.0723177768937004,A5,D3,0.4316433143031802,0.5683566856968199,0.1587067079921798,august,10,6962
R1,31,31000,0.7836816503389206,9.012223451184354,0.5879677419354838,,,1.3668506959673117,0.7739403037975143,0.5929103921697971,2.202106466386744,0.4912693120915928,8.331460696026852,7.734530680552113,A5,D2,0.4316433143031802,0.5683566856968199,0.0869576364349834,august,1,26929
R1,31,31000,0.7683347649915119,9.027654525201044,0.583741935483871,,,1.2949027385718248,0.7466362487752422,0.5482664897965827,1.1458199106148808,0.3761598359839457,8.982013437834137,7.3741515271551235,A5,D5,0.0,1.0,0.0851090128500903,august,2,26930
R1,31,31000,0.7772777341265082,9.001689131648039,0.5879354838709677,,,1.3397421488470458,0.7751619411772493,0.5645802076697964,0.4993813936655456,0.4485993354611673,9.145118142022326,7.439682863213258,A2,D5,0.0,1.0,0.0863479867788106,august,3,26931
R1,31,31000,0.7545294568551973,9.040926904781756,0.5841290322580646,,,1.375273729514762,0.7912353125075244,0.5840384170072375,0.6308491982320414,0.435092916137533,9.334158408641969,7.249068618103466,A4,D5,0.0,1.0,0.0834570907166748,august,4,26932
R1,31,31000,0.7608643855852647,9.035186527049342,0.5733870967741935,,,1.374734631392259,0.7913148532810955,0.5834197781111635,1.2014840415035,0.4420302493871563,8.702426346708409,7.701993977446992,A5,D5,0.4316433143031802,0.5683566856968199,0.0842112537806945,august,5,26933
R1,31,31000,0.7830113397964097,9.011798480661415,0.5864516129032258,,,1.3958325585236715,0.7703222970073982,0.6255102615162733,0.6083324671507417,0.4447500316890092,9.22385799718884,7.914363416992014,A4,D5,0.0,1.0,0.0868873556678712,august,6,26934
R1,31,31000,0.7685988515575046,9.015897108873922,0.5878064516129032,,,1.3950505090368626,0.7469336740133685,0.648116835023494,0.893643825508943,0.5673921170912282,9.21502130433938,7.661485820112384,A5,D5,0.0,1.0,0.0852492926966756,august,7,26935
R1,31,31000,0.7708123087239621,8.999500395312399,0.5790645161290322,,,1.4047035110331263,0.7562423809819857,0.6484611300511408,0.52269759433074,0.4769886835579095,9.428112421645595,7.452825972652695,A1,D5,0.0,1.0,0.0856505666831747,august,8,26936
R1,31,31000,0.7734556052590671,9.014400243463944,0.5716451612903226,,,1.4147968855666302,0.76543866944771,0.6493582161189202,1.03359184892687,0.5195315898131683,9.272477841719793,7.419864915482579,A5,D5,0.0,1.0,0.0858022258130678,august,9,26937
R1,31,31000,0.7799215824250564,9.002176573218303,0.5765806451612904,,,1.4096978609968205,0.7323615858421884,0.6773362751546319,0.7915998057318289,0.5003309122792041,9.30597660481223,7.626046333245628,A4,D5,0.0,1.0,0.0866370011831741,august,10,26938
R2,31,31000,1.488743843831656,8.19783122869231,0.6824193548387096,,,0.971585226151018,1.0543953833054631,-0.082810157154445,1.7161933340780136,0.7277230392080729,8.832098089863855,7.150494723299327,A5,D6,0.0,1.0,0.1816021582172941,august,1,23185
R2,31,31000,1.466044995745998,8.223703768995566,0.669741935483871,,,0.9583494051749722,1.0648764783505456,-0.1065270731755733,1.7764429122562126,0.8012617839652838,8.179412585739916,7.127532865297725,A3,D3,0.5683566856968199,0.4316433143031802,0.1782706474998745,august,2,23186
R2,31,31000,1.4529218411842706,8.224022431897396,0.6764193548387096,,,0.9953316515517432,1.0710959714177088,-0.0757643198659657,2.801620651857957,0.7055881191920144,8.220362205567312,7.304785165670435,A5,D2,0.4316433143031802,0.5683566856968199,0.1766680299349647,august,3,23187
